index,Long,Lat,UTM_X,UTM_Y,Cov00
0,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
1,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
2,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
3,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
4,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
5,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
6,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
7,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
8,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
9,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
10,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
11,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
12,127.0780152,37.5413733,330201.1206872717,4156667.143962136,0.00019600000000000002
13,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
14,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
15,127.07801509999999,37.5413733,330201.1118518519,4156667.1441428014,0.00019600000000000002
16,127.078015,37.5413733,330201.10301643214,4156667.144323467,0.00019600000000000002
17,127.0780149,37.5413733,330201.09418101236,4156667.1445041317,0.00019600000000000002
18,127.07801459999999,37.5413733,330201.0676747509,4156667.145046127,0.00019600000000000002
19,127.0780142,37.5413733,330201.0323330719,4156667.1457687877,0.00019600000000000002
20,127.0780137,37.5413733,330200.9881559732,4156667.1466721143,0.00019600000000000002
21,127.0780133,37.5413734,330200.9530411828,4156667.1584907398,0.00019600000000000002
22,127.07801269999999,37.5413734,330200.9000286621,4156667.1595747317,0.00019600000000000002
23,127.078012,37.5413735,330200.83840761264,4156667.1719353534,0.00019600000000000002
24,127.0780113,37.5413735,330200.7765596723,4156667.1732000117,0.00019600000000000002
25,127.0780107,37.5413735,330200.72354715166,4156667.174284005,0.00019600000000000002
26,127.0780099,37.5413736,330200.6530906828,4156667.186825294,0.00019600000000000002
27,127.07800909999999,37.5413736,330200.5824073228,4156667.188270619,0.00019600000000000002
28,127.07800839999999,37.5413737,330200.52078627166,4156667.200631243,0.00019600000000000002
29,127.0780075,37.5413737,330200.44126749435,4156667.2022572355,0.00019600000000000002
30,127.0780068,37.541373799999995,330200.3796464434,4156667.2146178605,0.00019600000000000002
31,127.0780059,37.541373799999995,330200.3001276639,4156667.216243854,0.00019600000000000002
32,127.07800499999999,37.541373799999995,330200.2206088843,4156667.2178698485,0.00019600000000000002
33,127.0780041,37.541373899999996,330200.14131699665,4156667.2305918075,0.00019600000000000002
34,127.07800309999999,37.541373899999996,330200.0529627975,4156667.2323984695,0.00019600000000000002
35,127.078002,37.541373899999996,330199.9557731786,4156667.2343857987,0.00019600000000000002
36,127.078001,37.541374,330199.8676458694,4156667.2472884273,0.00019600000000000002
37,127.0779999,37.541374,330199.7704562507,4156667.249275759,0.00019600000000000002
38,127.0779987,37.5413741,330199.6646581025,4156667.2625397225,0.00019600000000000002
39,127.0779977,37.5413742,330199.57653079624,4156667.2754423544,0.00019600000000000002
40,127.0779965,37.5413742,330199.47050575574,4156667.277610356,0.00019600000000000002
41,127.07799539999999,37.5413742,330199.3733161371,4156667.279597692,0.00019600000000000002
42,127.0779943,37.5413743,330199.2763534116,4156667.292680993,0.00019600000000000002
43,127.0779932,37.541374399999995,330199.17939068406,4156667.305764296,0.00019600000000000002
44,127.07799209999999,37.541374499999996,330199.08242795453,4156667.3188475994,0.00019600000000000002
45,127.077991,37.541374499999996,330198.98523833853,4156667.32083494,0.00019600000000000002
