lat,lon
37.54135926759721,127.07803763364345
37.541354008940736,127.07799260115402
37.541355517914376,127.07797256569597
37.541356542117896,127.07795251371365
37.541356542117896,127.07792987785346
37.541354644598584,127.0779180358853
37.54134792915121,127.07790093434254
37.54133984824281,127.07788289669223
37.54132942676771,127.07785984132387
37.54132169620414,127.07782953036073
37.541326138513874,127.07779211942477
37.54134219286156,127.07776563491204
37.54135626735863,127.07775335041602
37.54137295916649,127.07773784806795
37.541388522701894,127.07772419994119
37.54140515888174,127.077712602742
37.54141235912961,127.07770640276452
37.54142218224296,127.07769072641602
37.54142425526019,127.07767934852518
37.54142568541635,127.07765826647342
37.54139133240279,127.07799796635653
37.54139821299634,127.07800264528645
37.54140025253307,127.07797764803972
37.5414014578821,127.07795251371365
37.5414014578821,127.07792987785346
37.54139651811627,127.077897542938
37.54138744247682,127.0778739994562
37.5413778410493,127.07785268189198
37.54137038000393,127.07783657763675
37.54136643082281,127.07782444801657
37.54136624045869,127.07781763314381
37.541371716475815,127.07780832481684
37.54138697976342,127.07779468480341
37.54139936700183,127.07778366961112
37.54141328406898,127.07777146108307
37.54142811680626,127.077761290492
37.54144879824367,127.07773952183226
37.54146089140737,127.07771945861901
37.54146868463954,127.07768766232702
37.541470391297224,127.07766373625024
