index,Long,Lat,UTM_X,UTM_Y,Cov00
85,127.0779683,37.5413783,330196.98822000227,4156667.7834933265,0.00019600000000000002
86,127.07796689999999,37.5413784,330196.8647510227,4156667.797118666,0.00019600000000000002
87,127.07796549999999,37.5413785,330196.7412820458,4156667.810744007,0.00019600000000000002
88,127.077964,37.5413785,330196.60875075555,4156667.8134540548,0.00019600000000000002
89,127.07796259999999,37.5413786,330196.485281779,4156667.8270794,0.00019600000000000002
90,127.0779611,37.5413786,330196.3527504889,4156667.829789452,0.00019600000000000002
91,127.07795979999999,37.541378699999996,330196.2381169298,4156667.8432341283,0.00019600000000000002
92,127.0779584,37.5413788,330196.11464795406,4156667.8568594796,0.00019600000000000002
93,127.077957,37.5413789,330195.9911789786,4156667.87048483,0.00019600000000000002
94,127.0779556,37.5413789,330195.8674831081,4156667.8730142196,0.00019600000000000002
95,127.0779542,37.5413789,330195.74378723756,4156667.87554361,0.00019600000000000002
96,127.07795279999999,37.541379,330195.62031826045,4156667.889168968,0.00019600000000000002
97,127.0779515,37.541379,330195.5054578092,4156667.891517692,0.00019600000000000002
98,127.0779501,37.5413791,330195.3819888347,4156667.905143053,0.00019600000000000002
99,127.0779487,37.5413791,330195.2582929644,4156667.9076724513,0.00019600000000000002
100,127.07794729999999,37.5413791,330195.13459709403,4156667.9102018513,0.00019600000000000002
101,127.077946,37.5413791,330195.01973664283,4156667.9125505816,0.00019600000000000002
102,127.0779446,37.5413791,330194.8960407723,4156667.9150799853,0.00019600000000000002
103,127.07794319999999,37.5413791,330194.7723448997,4156667.917609391,0.00019600000000000002
104,127.07794179999999,37.5413791,330194.6486490292,4156667.920138798,0.00019600000000000002
105,127.07794039999999,37.5413791,330194.5249531588,4156667.9226682074,0.00019600000000000002
106,127.077939,37.5413792,330194.40148418566,4156667.9362935834,0.00019600000000000002
107,127.07793769999999,37.5413791,330194.28639683686,4156667.9275463587,0.00019600000000000002
108,127.07793629999999,37.5413791,330194.1627009641,4156667.930075774,0.00019600000000000002
109,127.077935,37.5413791,330194.0478405149,4156667.9324245173,0.00019600000000000002
110,127.0779335,37.541379,330193.9150823249,4156667.9240386444,0.00019600000000000002
111,127.07793219999999,37.541379,330193.80022187333,4156667.926387391,0.00019600000000000002
112,127.07793079999999,37.541379,330193.67652600247,4156667.9289168133,0.00019600000000000002
