t,v_cmd,v_meas
18.659802,2.414085,1.338037
18.679796,2.415640,1.346285
18.699776,2.417404,1.357700
18.719788,2.419299,1.367118
18.739786,2.421171,1.372163
18.759786,2.424026,1.374774
18.779802,2.426885,1.376358
18.799775,2.429733,1.376932
18.819785,2.432590,1.377436
18.839785,2.435445,1.377846
18.859782,2.438299,1.378865
18.880011,2.441152,1.380967
18.899781,2.443792,1.384984
18.919782,2.446434,1.392544
18.939783,2.449089,1.401558
18.959806,2.451951,1.411408
18.979793,2.454802,1.423235
18.999784,2.457654,1.433196
19.019796,2.460512,1.444311
19.039788,2.463365,1.455284
19.059822,2.466229,1.466021
19.080110,2.469165,1.475728
19.099820,2.471940,1.483651
19.119816,2.474794,1.491006
19.139872,2.477664,1.496111
19.159821,2.480505,1.499566
19.179788,2.483350,1.503237
19.199797,2.486208,1.507774
19.219804,2.489064,1.513171
19.239781,2.491913,1.518497
19.259774,2.494766,1.522583
19.279793,2.497626,1.524989
19.299772,2.500475,1.525701
19.319778,2.503332,1.524189
19.339774,2.506185,1.520819
19.359780,2.509042,1.515873
19.379784,2.511898,1.509878
19.399800,2.514757,1.503068
19.419776,2.517605,1.497225
19.439770,2.520459,1.491758
19.459776,2.523315,1.487616
19.479787,2.526173,1.485217
19.499771,2.529024,1.483874
19.519773,2.531631,1.483601
19.539782,2.533830,1.484005
19.559772,2.535834,1.484571
19.579774,2.537655,1.484768
19.599792,2.539310,1.484976
19.619764,2.540793,1.486068
19.639773,2.542160,1.486848
19.659771,2.543443,1.488420
19.679775,2.545176,1.489564
19.699782,2.546742,1.489479
19.719772,2.548098,1.487436
19.739763,2.548960,1.483081
19.759786,2.549601,1.478340
19.779780,2.550011,1.472566
19.799800,2.549235,1.466650
19.819768,2.548372,1.461109
19.839784,2.547443,1.456098
19.859781,2.546472,1.451654
19.879777,2.544718,1.447487
19.899764,2.543031,1.444069
19.919807,2.541400,1.440675
19.939776,2.539148,1.437421
19.959769,2.537007,1.434041
19.979767,2.534959,1.430248
19.999837,2.532412,1.425798
20.019764,2.529998,1.421423
20.039764,2.527659,1.416400
20.059766,2.525388,1.411039
20.080095,2.522441,1.406703
20.099765,2.519677,1.404246
20.119770,2.516823,1.403606
20.139768,2.513968,1.404499
20.159764,2.511471,1.407631
20.179785,2.509364,1.412844
20.199763,2.508449,1.418185
20.219763,2.507793,1.424258
20.239770,2.507367,1.430159
20.259801,2.507142,1.435742
20.280030,2.507961,1.440368
20.299763,2.508771,1.443407
20.319767,2.509588,1.445910
20.339769,2.510930,1.447549
20.359782,2.512169,1.448348
20.380382,2.513315,1.448178
20.400281,2.514366,1.447888
20.419756,2.515293,1.447746
20.439768,2.516172,1.448271
20.459846,2.517210,1.449829
20.480135,2.518224,1.452064
20.500004,2.519155,1.453190
20.519766,2.520133,1.457985
20.539752,2.521412,1.461962
20.559761,2.522715,1.466796
20.579797,2.524024,1.471097
20.599751,2.526217,1.474493
20.619956,2.528310,1.477355
20.640148,2.530230,1.478338
20.659756,2.532450,1.481188
20.679768,2.534539,1.482448
20.699774,2.536423,1.482251
20.719776,2.538092,1.481066
20.739787,2.539561,1.478514
20.760203,2.540822,1.475399
20.779762,2.541804,1.471489
20.799756,2.541894,1.466808
20.819755,2.541841,1.462278
20.839749,2.541681,1.458445
20.859755,2.540865,1.456109
20.879749,2.540080,1.454510
20.899750,2.539349,1.453829
20.919782,2.538687,1.453841
20.940218,2.537731,1.453987
20.960658,2.536884,1.454509
20.980381,2.536147,1.454600
20.999992,2.535515,1.454099
21.019748,2.534906,1.453006
21.039751,2.534309,1.451682
21.059749,2.533679,1.450387
21.079753,2.533118,1.450693
21.099800,2.532667,1.452625
21.121097,2.532457,1.456422
21.140450,2.532346,1.458571
21.160233,2.532377,1.463235
21.179750,2.532662,1.472258
21.199792,2.534127,1.478494
21.219768,2.535659,1.485670
21.239743,2.537245,1.492446
21.259750,2.540102,1.498788
21.279789,2.542927,1.504976
21.300046,2.545676,1.510577
21.319788,2.548459,1.516654
21.339750,2.551304,1.521705
21.359749,2.554158,1.526278
21.379824,2.557034,1.529746
21.399763,2.559872,1.532069
21.419759,2.562726,1.533352
21.439744,2.565577,1.533216
21.459746,2.568432,1.532225
21.479741,2.571285,1.530223
21.499748,2.573963,1.528501
21.519784,2.576052,1.527022
21.539776,2.577891,1.525404
21.559747,2.579520,1.524252
21.579745,2.580969,1.523321
21.599783,2.582026,1.522052
21.619785,2.582934,1.520467
21.639738,2.583689,1.518154
21.659745,2.584001,1.515251
21.679744,2.584162,1.511006
21.699747,2.584168,1.506127
21.719742,2.583200,1.500388
21.739737,2.582141,1.494087
21.759756,2.580994,1.487640
21.779790,2.578557,1.481518
21.799749,2.576179,1.475312
21.820184,2.573817,1.469918
21.839744,2.571648,1.465600
21.859738,2.568795,1.462127
21.879740,2.566090,1.460072
21.899738,2.563595,1.458390
21.919748,2.560896,1.457542
21.939708,2.558442,1.456915
21.959735,2.556204,1.456567
21.979744,2.554118,1.456640
21.999739,2.552241,1.456993
22.019817,2.550583,1.458598
22.039753,2.549146,1.460411
22.059754,2.548112,1.462490
22.079776,2.547216,1.463877
22.099738,2.546409,1.463908
22.120142,2.545795,1.462580
22.139731,2.545171,1.459393
22.159774,2.544476,1.455312
22.179736,2.542998,1.449813
22.199741,2.541501,1.444472
22.219945,2.539989,1.439596
22.239737,2.538528,1.435473
22.259777,2.536263,1.432485
22.279738,2.534144,1.429843
22.299730,2.532173,1.428057
22.319729,2.529940,1.426683
22.339730,2.527847,1.424195
22.359774,2.525855,1.420994
22.379736,2.523276,1.416707
22.399772,2.520816,1.412752
22.420064,2.518453,1.409046
22.439765,2.515680,1.406095
22.459775,2.513081,1.404586
22.479772,2.510754,1.405338
22.499738,2.508711,1.407385
22.519729,2.507033,1.411023
22.539729,2.505636,1.415144
22.559726,2.504493,1.419218
22.579732,2.504324,1.423109
22.599733,2.504248,1.425781
22.619734,2.504231,1.427543
22.640645,2.504858,1.427842
22.659736,2.505373,1.427726
22.680866,2.505874,1.427249
22.699734,2.506230,1.425551
22.719731,2.506351,1.424328
22.739736,2.506424,1.423113
22.759721,2.506474,1.422549
22.779728,2.506363,1.422040
22.799732,2.506257,1.421839
22.819733,2.506150,1.421438
22.839779,2.505880,1.421308
22.859764,2.505651,1.421752
22.879764,2.505480,1.422987
22.899766,2.505381,1.424830
22.919771,2.505697,1.427859
22.939741,2.506111,1.432199
22.959765,2.506623,1.436772
22.979729,2.507831,1.441945
22.999728,2.509067,1.446722
23.019718,2.510320,1.451215
23.039725,2.512377,1.453165
23.059725,2.514269,1.454210
23.079726,2.515961,1.453558
23.101021,2.517525,1.452270
23.119719,2.518717,1.450482
23.139735,2.519818,1.448568
23.159723,2.520771,1.447139
23.179723,2.521338,1.446642
23.199743,2.521852,1.446673
23.219715,2.522318,1.446722
23.239719,2.522787,1.446824
23.259723,2.523217,1.447018
23.279724,2.523605,1.446967
23.299876,2.523922,1.446667
23.319721,2.524213,1.446970
23.339741,2.524498,1.447570
23.359722,2.524793,1.448796
23.379725,2.525224,1.450187
23.399721,2.525653,1.451439
23.419720,2.526084,1.452840
23.439719,2.526731,1.454334
23.459720,2.527369,1.456071
23.479728,2.527995,1.457626
23.499734,2.528761,1.459366
23.519722,2.529507,1.461161
23.539720,2.530244,1.463173
23.559720,2.530991,1.465810
23.579718,2.532388,1.469395
23.599712,2.533775,1.473461
23.619717,2.535173,1.478097
23.639717,2.537181,1.482751
23.659717,2.539141,1.487440
23.679718,2.541044,1.491730
23.699708,2.543702,1.495440
23.719709,2.546203,1.498597
23.739712,2.548543,1.501102
23.759804,2.551276,1.503277
23.779753,2.553792,1.505286
23.799721,2.556137,1.507470
23.819752,2.558337,1.509811
23.839715,2.560786,1.512145
23.859751,2.563080,1.514466
23.879716,2.565238,1.517424
23.899736,2.567303,1.520178
23.919748,2.569255,1.523021
23.939751,2.571073,1.524802
23.959729,2.573062,1.524385
23.979751,2.574780,1.521438
24.000272,2.576221,1.516468
24.019717,2.577252,1.509278
24.039715,2.577170,1.500482
24.059714,2.576796,1.490280
24.079736,2.576182,1.480883
24.099705,2.573703,1.472653
24.119711,2.571283,1.466873
24.139720,2.568972,1.462850
24.159710,2.566120,1.460676
24.179933,2.563322,1.460277
24.199710,2.560817,1.459305
24.219705,2.558496,1.458354
24.239711,2.556369,1.457080
24.259725,2.554414,1.456079
24.279729,2.552612,1.454928
24.299707,2.550632,1.453951
24.319746,2.548847,1.454365
24.339709,2.547276,1.455646
24.360103,2.545913,1.458026
24.379709,2.544808,1.460825
24.399745,2.543872,1.463728
24.419793,2.543833,1.466546
24.439667,2.543847,1.468215
24.459818,2.543871,1.468580
24.479743,2.543866,1.467692
24.499721,2.543886,1.465613
24.519721,2.543817,1.462638
24.539723,2.543627,1.458368
24.559698,2.542365,1.454411
24.579722,2.541116,1.450891
24.599741,2.539918,1.448622
24.619719,2.538416,1.447578
24.639727,2.537043,1.447170
24.660343,2.535774,1.447445
24.679704,2.534738,1.448930
24.699741,2.534131,1.450313
24.719739,2.533647,1.452450
24.739710,2.533281,1.454834
24.760006,2.533298,1.457549
24.779703,2.533407,1.460814
24.799695,2.533638,1.465359
24.819699,2.534670,1.470719
24.839729,2.535753,1.475802
24.859701,2.536868,1.480583
24.879717,2.537987,1.484318
24.899738,2.539888,1.486431
24.919716,2.541622,1.487070
24.939713,2.543168,1.486191
24.959700,2.544507,1.484499
24.979739,2.545647,1.481962
24.999697,2.546630,1.480470
25.019735,2.546890,1.475873
25.039714,2.547028,1.472648
25.059702,2.547070,1.469857
25.079771,2.546644,1.466852
25.099713,2.546158,1.463247
25.119698,2.545619,1.459883
25.139712,2.545021,1.456102
25.159699,2.543766,1.452630
25.179692,2.542531,1.449281
25.200054,2.541311,1.446428
25.219695,2.539345,1.444398
25.239695,2.537502,1.443408
25.259697,2.535865,1.444440
25.279690,2.534517,1.447631
25.299687,2.533460,1.453005
25.319732,2.532671,1.458577
25.339697,2.532127,1.464105
25.359731,2.533191,1.469259
25.379708,2.534252,1.472612
25.399694,2.535243,1.473659
25.419692,2.536480,1.472294
25.439692,2.537489,1.468621
25.459692,2.538262,1.463956
25.479652,2.538341,1.461381
25.499691,2.538195,1.454183
25.519693,2.537991,1.451803
25.539692,2.537789,1.451208
25.560053,2.537089,1.452841
25.579728,2.536583,1.456389
25.599733,2.536262,1.461211
25.619693,2.536741,1.467215
25.639709,2.537354,1.473162
25.659706,2.538116,1.480108
25.679725,2.540192,1.486764
25.699727,2.542230,1.492219
25.719705,2.544211,1.496957
25.740684,2.547288,1.500823
25.759704,2.549876,1.505472
25.779688,2.552557,1.510371
25.799690,2.555143,1.515722
25.819689,2.557997,1.520689
25.839687,2.560852,1.525255
25.859680,2.563704,1.528864
25.879682,2.566560,1.531807
25.899681,2.569414,1.534138
25.919702,2.572275,1.535580
25.939679,2.575124,1.536222
25.959679,2.577979,1.536262
25.979689,2.580716,1.536786
25.999686,2.583195,1.536911
26.019691,2.585476,1.538000
26.039704,2.587572,1.539085
26.059685,2.589484,1.539712
26.079687,2.591368,1.538318
26.099721,2.592987,1.535261
26.119701,2.594407,1.533867
26.139676,2.595467,1.535879
26.159681,2.596577,1.540981
26.179720,2.597856,1.550228
26.199699,2.599371,1.562522
26.219737,2.596506,1.576942
26.239720,2.593656,1.590111
26.259718,2.590801,1.599241
26.279683,2.587956,1.604224
26.299720,2.585091,1.606098
26.319861,2.582197,1.605689
26.339680,2.579392,1.602571
26.359673,2.576539,1.595620
26.379718,2.573672,1.585095
26.399731,2.570813,1.571277
26.419675,2.567974,1.556523
26.439679,2.565118,1.541505
26.459718,2.562252,1.526155
26.479718,2.559397,1.511745
26.499692,2.556550,1.497060
26.519670,2.553701,1.482278
26.539672,2.550846,1.467966
26.559673,2.547990,1.453337
26.579679,2.545134,1.438838
26.599827,2.542238,1.424742
26.619678,2.539424,1.411653
26.639678,2.536569,1.400772
26.659632,2.533727,1.392585
26.679671,2.530861,1.386904
26.699688,2.528002,1.383920
26.720238,2.524992,1.383565
26.739917,2.522226,1.383943
26.759713,2.519427,1.385995
26.779669,2.516585,1.386659
26.799675,2.513728,1.385595
26.819676,2.510873,1.382407
26.839667,2.508021,1.376574
26.859689,2.505160,1.368871
26.879675,2.502309,1.358957
26.899677,2.499453,1.346650
26.919667,2.496601,1.333271
26.940205,2.493595,1.319702
26.959690,2.490881,1.306490
