t,v_cmd,v_meas
3.779993,0.828185,0.557028
3.799997,0.831041,0.554614
3.820042,0.833908,0.553243
3.840000,0.836751,0.552693
3.860188,0.839659,0.553361
3.879995,0.842460,0.554486
3.900040,0.845327,0.555985
3.919997,0.848170,0.558130
3.939991,0.851024,0.559830
3.960784,0.854103,0.560951
3.980036,0.856754,0.561784
3.999993,0.859596,0.562698
4.019995,0.862452,0.563412
4.039991,0.865306,0.563300
4.060147,0.868204,0.563332
4.079989,0.871015,0.564166
4.099992,0.873871,0.565298
4.119989,0.876725,0.566589
4.140073,0.879603,0.567929
4.159980,0.882432,0.570338
4.180041,0.885304,0.573076
4.199986,0.888144,0.575730
4.220003,0.891003,0.578185
4.240018,0.893862,0.580646
4.259990,0.896709,0.583262
4.279990,0.899564,0.585210
4.300003,0.902423,0.586667
4.320042,0.905289,0.587917
4.340078,0.908154,0.588766
4.359987,0.910983,0.589054
4.379991,0.913839,0.588645
4.399987,0.916693,0.588085
4.420050,0.919565,0.588027
4.439979,0.922400,0.587270
4.460033,0.925270,0.586558
4.479985,0.928112,0.586994
4.499987,0.930967,0.589061
4.520092,0.933852,0.592694
4.540028,0.936689,0.597598
4.560025,0.939543,0.603336
4.579987,0.942387,0.610252
4.600094,0.945272,0.617499
4.620106,0.948130,0.626096
4.639980,0.950950,0.634961
4.659985,0.953806,0.644355
4.679986,0.956661,0.653936
4.699985,0.959516,0.663364
4.719982,0.962370,0.673668
4.739979,0.965224,0.682081
4.759983,0.968080,0.689886
4.779999,0.970939,0.696880
4.799984,0.973790,0.703261
4.820022,0.976655,0.709495
4.840021,0.979510,0.713912
4.860028,0.982367,0.717818
4.880027,0.985221,0.721334
4.900004,0.988070,0.723992
4.920033,0.990933,0.725568
4.940026,0.993786,0.725766
4.960041,0.996645,0.726148
4.980002,0.999489,0.727133
4.999983,1.002339,0.727560
5.019974,1.005191,0.727191
5.039975,1.008046,0.726593
5.060023,1.010914,0.727020
5.080002,1.013763,0.727949
5.100026,1.016625,0.728307
5.119982,1.019468,0.729286
5.139977,1.022321,0.731151
5.159981,1.025177,0.732962
5.179976,1.028030,0.733968
5.199976,1.030885,0.734035
5.219987,1.033743,0.734263
5.239971,1.036594,0.733997
5.260525,1.039605,0.732793
5.280070,1.042334,0.730904
5.299977,1.045163,0.729683
5.320024,1.048032,0.729275
5.340036,1.050890,0.728372
5.359982,1.053729,0.726631
5.379974,1.056582,0.724501
5.399977,1.059438,0.722696
5.419969,1.062290,0.720735
5.439977,1.065148,0.717854
5.460030,1.068017,0.714274
5.479972,1.070856,0.710327
5.499976,1.073712,0.706169
5.519989,1.076570,0.701244
5.540004,1.079429,0.695865
5.559972,1.082275,0.690862
5.579969,1.085130,0.686149
5.599974,1.087986,0.681981
5.619971,1.090840,0.678301
5.639971,1.093695,0.675758
5.659969,1.096549,0.674259
5.679962,1.099402,0.673248
5.699978,1.102261,0.672801
5.719971,1.105114,0.673445
5.739979,1.107971,0.674276
5.759998,1.110831,0.674960
5.779962,1.113676,0.674989
5.799965,1.116532,0.674920
5.819976,1.119390,0.675302
5.840225,1.122315,0.675278
5.859965,1.125098,0.674824
5.879976,1.127956,0.674249
5.899965,1.130807,0.674004
5.919977,1.133665,0.673917
5.941136,1.136852,0.674317
5.959959,1.139388,0.675558
5.979967,1.142245,0.677698
5.999970,1.145101,0.680820
6.019975,1.147957,0.683925
6.040265,1.150893,0.687235
6.059955,1.153662,0.691803
6.079971,1.156522,0.695854
6.099964,1.159375,0.699859
6.120002,1.162240,0.703571
6.139959,1.165083,0.707139
6.161073,1.168256,0.710274
6.179966,1.170810,0.712010
6.199967,1.173666,0.712735
6.219960,1.176519,0.713722
6.239959,1.179373,0.714542
6.259973,1.182232,0.714585
6.280159,1.185139,0.714006
6.299957,1.187938,0.713643
